rna0;XM_005088767.1
rna7861;XM_013080973.1
rna7862;NM_001204703.1
rna7863;XM_005095609.2
rna7864;XM_005095610.2
rna7865;XM_013080983.1
rna7866;XM_013080984.1
rna7867;XM_013080985.1
rna7868;XM_013080986.1
rna7869;XM_005095618.2
rna7870;XM_013080987.1
rna7871;XM_005095636.1
rna7872;XM_005095619.2
rna7873;XM_013080978.1
rna7874;XM_013080979.1
rna7875;XM_005095638.2
rna7876;XM_005095620.2
rna7877;XM_005095621.2
rna7878;XM_005095622.2
rna7879;XM_013080988.1
rna7880;XM_005095623.2
rna7881;XM_005095624.2
rna7882;XM_005095625.2
rna7883;XM_013080980.1
rna7884;XM_013080982.1
rna7885;XM_005095626.2
rna7886;XM_013080981.1
rna7888;XM_005095640.2
rna7889;XM_013080990.1
rna7890;XM_005095641.1
rna7891;XM_005095627.2
rna7892;XM_013080991.1
rna7894;XM_005095629.2
rna7895;XM_005095642.1
rna7896;XM_013080992.1
rna7898;XM_005095631.2
rna7899;XM_013080975.1
rna7900;XM_013080976.1
rna7901;XM_013080997.1
rna7902;XM_005095647.2
rna7903;XM_013080996.1
rna7904;XM_005095648.2
rna7905;XM_005095651.2
rna7906;XM_005095652.2
rna7907;XM_013080998.1
rna7908;XM_005095655.1
rna7909;XM_005095656.1
rna7910;XM_005095653.2
rna7911;XM_005095654.2
rna7912;XM_013080999.1
rna7913;XM_005095657.2
rna7914;XM_005095658.2
rna7915;XM_005095659.2
rna7916;XM_005095660.2
rna7917;XM_005095661.2
rna7918;XM_005095662.2
rna7919;XM_005095663.2
rna7920;XM_013081000.1
rna7921;XM_005095664.2
rna7922;XM_013081003.1
rna7923;XM_013081002.1
rna7924;XM_013081004.1
rna7925;XM_005095667.2
rna7926;XM_005095669.2
rna7927;XM_013081005.1
rna7928;XM_013081006.1
rna7929;XM_013080995.1
rna7930;XM_005095679.1
rna7931;XM_013080993.1
rna7932;XM_005095670.1
rna7933;XM_005095681.1
rna7934;XM_013080994.1
rna7935;XM_005095671.2
rna7936;XM_005095682.2
rna7937;XM_013081012.1
rna7938;XM_005095683.2
rna7939;XM_013081013.1
rna7940;XM_013081009.1
rna7941;XM_005095684.2
rna7942;XM_013081014.1
rna7943;XM_005095685.2
rna7944;XM_013081015.1
rna7945;XM_013081016.1
rna7946;XM_013081017.1
rna7947;XM_005095686.2
rna7948;XM_013081018.1
rna7949;XM_005095688.2
rna7950;XM_005095687.2
rna7951;XM_013081019.1
rna7952;XM_013081021.1
rna7953;XM_013081022.1
rna7954;XM_013081020.1
rna7955;XM_005095700.1
rna7956;XM_005095701.2
rna7957;XM_005095689.2
rna7958;XM_013081023.1
rna7959;XM_005095690.2
rna7960;XM_013081024.1
rna7961;XM_005095691.2
rna7962;XM_013081025.1
rna7963;XM_013081007.1
rna7965;XM_005095692.2
rna7966;XM_013081008.1
rna7967;XM_013081010.1
rna7968;XM_005095693.2
rna7969;XM_013081011.1
rna7970;XM_013081032.1
rna7971;XM_013081031.1
rna7972;XM_005095708.2
rna7974;XM_013081033.1
rna7975;XM_005095710.2
rna7976;XM_005095712.2
rna7977;XM_005095744.1
rna7978;XM_005095714.2
rna7979;XM_005095713.2
rna7980;XM_013081028.1
rna7981;XM_013081034.1
rna7982;XM_005095717.2
rna7983;XM_013081029.1
rna7984;XM_013081026.1
rna7985;XM_013081035.1
rna7986;XM_005095718.2
rna7987;XM_013081036.1
rna7989;XM_005095719.2
rna7990;XM_005095720.1
rna7991;XM_013081027.1
rna7992;XM_005095749.2
rna7994;XM_005095721.2
rna7995;XM_005095722.2
rna7996;XM_013081037.1
rna7997;XM_013081038.1
rna7998;XM_005095723.2
rna7999;XM_005095724.2
rna8000;XM_013081039.1
rna8001;XM_013081030.1
rna8002;XM_013081040.1
rna8003;XM_005095725.2
rna8004;XM_013081041.1
rna8005;XM_005095726.2
rna8006;XM_005095727.2
rna8007;XM_013081044.1
rna8008;XM_005095729.2
rna8009;XM_013081043.1
rna8010;XM_013081045.1
rna8011;XM_013081046.1
rna8012;XM_013081051.1
rna8013;XM_013081049.1
rna8014;XM_013081048.1
rna8015;XM_013081047.1
rna8016;XM_013081058.1
rna8017;XM_005095755.2
rna8018;XM_005095756.2
rna8019;XM_013081060.1
rna8020;XM_005095763.2
rna8021;XM_005095757.2
rna8022;XM_005095759.2
rna8023;XM_005095761.2
rna8024;XM_005095758.2
rna8025;XM_005095762.2
rna8026;XM_005095760.2
rna8027;XM_005095764.2
rna8028;XM_005095766.2
rna8029;XM_013081061.1
rna8030;XM_005095768.2
rna8031;XM_005095770.2
rna8032;XM_005095769.2
rna8033;XM_005095771.2
rna8034;XM_005095773.2
rna8035;XM_005095772.2
rna8036;XM_013081062.1
rna8037;XM_013081063.1
rna8038;XM_013081052.1
rna8039;XM_005095774.2
rna8040;XM_005095775.2
rna8041;XM_005095776.2
rna8042;XM_005095777.2
rna8043;XM_013081064.1
rna8044;XM_005095779.2
rna8045;XM_013081065.1
rna8046;XM_013081066.1
rna8047;XM_013081053.1
rna8048;XM_013081054.1
rna8049;XM_005095780.2
rna8050;XM_005095781.2
rna8051;XM_013081067.1
rna8052;XM_013081068.1
rna8053;XM_005095804.2
rna8054;XM_013081057.1
rna8055;XM_013081069.1
rna8056;XM_013081070.1
rna8057;XM_005095782.2
rna8059;XM_005095785.2
rna8060;XM_005095784.2
rna8061;XM_013081071.1
rna8062;XM_005095789.2
rna8063;XM_005095788.2
rna8064;XM_005095786.2
rna8065;XM_005095806.1
rna8066;XM_005095790.2
rna8067;XM_013081072.1
rna8068;XM_013081074.1
rna8069;XM_013081073.1
rna8070;XM_005095793.2
rna8071;XM_005095792.2
rna8072;XM_013081055.1
rna8073;XM_013081056.1
rna8075;XM_013081079.1
rna8076;XM_013081080.1
rna8077;XM_013081078.1
rna8078;XM_013081075.1
rna8088;XM_013081081.1
rna8089;XM_005095811.2
rna8090;XM_005095810.2
rna8092;XM_005095832.2
rna8093;XM_013081082.1
rna8094;XM_005095813.2
rna8095;XM_005095814.2
rna8096;XM_005095815.2
rna8097;XM_013081084.1
rna8098;XM_005095816.2
rna8099;XM_005095817.1
rna8100;XM_005095818.2
rna8101;XM_013081077.1
rna8102;XM_005095819.2
rna8103;XM_005095821.2
rna8104;XM_005095822.2
rna8105;XM_005095824.2
rna8106;XM_005095835.2
rna8107;XM_005095825.2
rna8108;XM_005095826.2
rna8109;XM_013081085.1
rna8110;XM_013081086.1
rna8111;XM_013081087.1
rna8112;XM_005095836.1
rna8113;XM_005095837.1
rna8114;XM_005095827.2
rna8115;XM_005095839.2
rna8116;XM_005095838.2
rna8117;XM_005095865.1
rna8118;XM_013081096.1
rna8119;XM_013081095.1
rna8120;XM_005095841.2
rna8121;XM_013081090.1
rna8122;XM_005095843.2
rna8123;XM_005095845.2
rna8124;XM_005095844.2
rna8125;XM_005095846.2
rna8126;XM_005095847.2
rna8127;XM_013081098.1
rna8128;XM_013081091.1
rna8129;XM_005095848.2
rna8130;NM_001204711.1
rna8131;XM_005095849.2
rna8132;XM_005095868.2
rna8133;XM_013081099.1
rna8134;XM_005095850.2
rna8135;XM_005095851.2
rna8136;XM_005095852.2
rna8137;XM_013081094.1
rna8138;XM_005095853.2
rna8139;XM_005095854.2
rna8140;XM_005095855.2
rna8141;XM_013081092.1
rna8142;XM_005095856.2
rna8143;XM_013081093.1
rna8148;XM_013081100.1
rna8149;XM_005095858.2
rna8150;XM_005095859.2
rna8153;XM_005095862.2
rna8154;XM_005095861.2
rna8155;XM_005095863.1
rna8156;XM_005095864.2
rna8157;XM_013081101.1
rna8158;XM_013081102.1
rna8159;XM_005095900.2
rna8160;XM_013081112.1
rna8161;XM_013081103.1
rna8162;XM_013081104.1
rna8163;XM_005095874.2
rna8164;XM_013081109.1
rna8165;XM_013081113.1
rna8166;XM_005095875.2
rna8167;XM_013081114.1
rna8168;XM_013081105.1
rna8169;XM_013081115.1
rna8170;XM_005095876.2
rna8171;XM_013081106.1
rna8172;XM_005095877.2
rna8173;XM_013081116.1
rna8174;XM_013081110.1
rna8175;XM_005095909.2
rna8176;XM_005095910.1
rna8177;XM_013081111.1
rna8178;XM_013081107.1
rna8179;XM_005095878.2
rna8180;XM_005095879.2
rna8181;XM_005095882.2
rna8182;XM_005095883.2
rna8183;XM_005095884.2
rna8184;XM_005095885.2
rna8185;XM_005095887.2
rna8186;XM_005095890.2
rna8187;XM_013081117.1
rna8188;XM_005095891.2
rna8189;XM_005095892.2
rna8190;XM_013081108.1
rna8191;XM_005095893.2
rna8192;XM_005095894.2
rna8193;XM_005095895.2
rna8194;XM_013081118.1
rna8195;XM_005095896.2
rna8196;XM_005095897.2
rna8197;XM_013081119.1
rna8198;XM_013081127.1
rna8199;XM_013081120.1
rna8200;XM_013081126.1
rna8201;XM_013081131.1
rna8202;XM_013081130.1
rna8203;XM_013081129.1
rna8204;XM_013081128.1
rna8208;XM_005095917.2
rna8209;XM_005095916.2
rna8210;XM_005095947.2
rna8211;XM_005095948.1
rna8212;XM_013081121.1
rna8213;XM_005095918.2
rna8214;XM_013081134.1
rna8215;XM_013081133.1
rna8216;XM_013081135.1
rna8217;XM_013081122.1
rna8218;XM_005095920.2
rna8219;XM_005095921.2
rna8220;XM_005095922.2
rna8221;XM_005095923.1
rna8222;XM_013081136.1
rna8223;XM_005095925.2
rna8224;XM_013081137.1
rna8225;XM_013081123.1
rna8226;XM_005095929.2
rna8227;XM_005095954.1
rna8228;XM_005095932.1
rna8229;XM_013081138.1
rna8230;XM_005095956.2
rna8231;XM_005095934.2
rna8232;XM_005095935.2
rna8233;XM_013081139.1
rna8234;XM_013081140.1
rna8235;XM_005095939.2
rna8236;XM_013081125.1
rna8237;XM_005095940.2
rna8238;XM_005095958.2
rna8239;XM_013081141.1
rna8240;XM_005095942.2
rna8241;XM_005095943.2
rna8242;XM_013081142.1
rna8244;XM_005095944.2
rna8245;XM_013081143.1
rna8246;XM_013081148.1
rna8247;XM_005095960.2
rna8248;XM_013081149.1
rna8249;XM_013081150.1
rna8251;XM_013081145.1
rna8252;XM_013081151.1
rna8253;XM_005095962.1
rna8254;XM_013081152.1
rna8255;XM_005095963.2
rna8256;XM_005095964.2
rna8257;XM_013081155.1
rna8258;XM_013081153.1
rna8259;XM_013081154.1
rna8260;XM_005095967.2
rna8261;XM_005095965.2
rna8262;XM_005095969.2
rna8263;XM_005095966.2
rna8264;XM_005095968.2
rna8265;XM_013081156.1
rna8266;XM_005095970.2
rna8267;XM_013081157.1
rna8268;XM_005095971.2
rna8269;XM_005095972.2
rna8270;XM_005095973.2
rna8271;XM_005095994.2
rna8272;XM_005095974.2
rna8273;XM_005095975.2
rna8274;XM_005095995.1
rna8275;XM_013081158.1
rna8276;XM_005095976.2
rna8277;XM_005095977.2
rna8278;XM_005095978.2
rna8279;XM_005095979.2
rna8280;XM_005095996.1
rna8281;XM_013081146.1
rna8282;XM_005095980.2
rna8283;XM_013081159.1
rna8284;XM_013081147.1
rna8285;XM_005095981.2
rna8286;XM_005095983.1
rna8287;XM_013081160.1
rna8288;XM_013081161.1
rna8289;XM_013081163.1
rna8290;XM_013081165.1
rna8291;XM_013081164.1
rna8292;XM_013081166.1
rna8293;XM_013081167.1
rna8294;XM_005095987.2
rna8295;XM_005095989.2
rna8296;XM_005095988.2
rna8298;XM_005096001.2
rna8299;XM_013081179.1
rna8300;XM_013081178.1
rna8301;XM_005096004.2
rna8302;XM_005096003.2
rna8303;XM_005096002.2
rna8304;XM_005096005.2
rna8305;XM_005096006.2
rna8306;XM_013081180.1
rna8307;XM_005096007.2
rna8308;XM_005096009.2
rna8309;XM_005096008.2
rna8310;XM_005096013.2
rna8311;XM_005096011.2
rna8312;XM_005096012.2
rna8313;XM_005096010.2
rna8314;XM_013081168.1
rna8315;XM_013081181.1
rna8316;XM_005096014.2
rna8317;XM_013081169.1
rna8318;XM_005096015.2
rna8319;XM_005096016.2
rna8320;XM_013081174.1
rna8321;XM_005096017.2
rna8322;XM_013081175.1
rna8323;XM_013081170.1
rna8324;XM_013081171.1
rna8325;XM_005096018.2
rna8326;XM_013081172.1
rna8327;XM_013081182.1
rna8328;XM_013081183.1
rna8329;XM_005096020.1
rna8330;XM_005096022.2
rna8331;XM_005096021.2
rna8332;XM_005096023.2
rna8333;XM_013081184.1
rna8334;XM_005096035.2
rna8335;XM_013081185.1
rna8336;XM_013081176.1
rna8337;XM_013081173.1
rna8338;XM_005096039.2
rna8339;XM_005096025.2
rna8340;XM_005096024.2
rna8341;XM_013081177.1
rna8342;XM_013081189.1
rna8343;XM_005096045.2
rna8344;XM_005096047.2
rna8345;XM_013081190.1
rna8346;XM_013081193.1
rna8347;XM_013081192.1
rna8348;XM_005096046.2
rna8349;XM_005096044.2
rna8350;XM_005096048.2
rna8351;XM_005096049.2
rna8352;XM_013081194.1
rna8353;XM_005096050.2
rna8354;XM_013081186.1
rna8355;XM_013081187.1
rna8356;XM_005096068.1
rna8357;XM_005096051.2
rna8358;XM_013081195.1
rna8359;XM_013081197.1
rna8360;XM_005096052.2
rna8361;XM_005096053.2
rna8362;XM_013081188.1
rna8363;XM_005096071.1
rna8364;XM_013081198.1
rna8365;XM_013081199.1
rna8367;XM_005096057.2
rna8368;XM_005096060.2
rna8369;XM_013081200.1
rna8370;XM_005096059.2
rna8371;XM_005096074.1
rna8374;XM_005096061.2
rna8375;XM_013081202.1
rna8376;XM_013081203.1
rna8377;XM_005096062.2
rna8378;XM_013081204.1
rna8379;XM_013081209.1
rna8380;XM_005096081.2
rna8381;XM_005096082.2
rna8382;XM_013081210.1
rna8383;XM_013081211.1
rna8384;XM_005096131.2
rna8385;XM_005096083.2
rna8386;XM_005096084.2
rna8387;XM_013081206.1
rna8388;XM_005096132.2
rna8389;XM_013081208.1
rna8390;XM_013081205.1
rna8391;NM_001204723.1
rna8392;XM_005096090.2
rna8393;XM_005096089.2
rna8394;XM_005096088.2
rna8395;XM_005096087.2
rna8396;XM_005096086.2
rna8397;XM_005096085.2
rna8398;XM_005096091.2
rna8399;XM_005096134.2
rna8400;XM_005096092.2
rna8401;XM_005096093.2
rna8402;XM_005096095.2
rna8403;XM_005096094.2
rna8404;XM_005096099.2
rna8405;XM_005096100.2
rna8406;XM_005096097.2
rna8407;XM_005096096.2
rna8408;XM_005096098.2
rna8409;XM_005096101.2
rna8410;XM_005096102.2
rna8411;XM_005096103.2
rna8412;XM_013081215.1
rna8413;XM_013081214.1
rna8414;XM_005096104.2
rna8415;XM_013081216.1
rna8416;XM_005096105.2
rna8417;XM_013081207.1
rna8418;XM_005096106.2
rna8419;XM_005096107.2
rna8420;XM_005096109.2
rna8421;XM_005096108.2
rna8422;XM_005096110.2
rna8423;XM_005096112.2
rna8424;XM_013081217.1
rna8425;XM_013081218.1
rna8427;XM_005096141.1
rna8428;XM_005096113.2
rna8429;XM_013081219.1
rna8430;XM_005096143.2
rna8431;XM_013081220.1
rna8432;XM_005096114.2
rna8433;XM_013081222.1
rna8434;XM_013081221.1
rna8435;XM_013081225.1
rna8436;XM_013081227.1
rna8437;XM_013081226.1
rna8438;XM_013081223.1
rna8439;XM_013081224.1
rna8440;XM_005096115.2
rna8441;XM_013081229.1
rna8442;XM_013081228.1
rna8443;XM_005096116.2
rna8444;XM_005096120.2
rna8445;XM_005096118.2
rna8446;XM_005096117.2
rna8447;XM_005096119.2
rna8448;XM_005096122.2
rna8449;XM_005096121.2
rna8450;XM_013081232.1
rna8451;XM_013081235.1
rna8452;XM_005096124.2
rna8453;XM_013081231.1
rna8454;XM_013081237.1
rna8455;XM_013081238.1
rna8456;XM_013081233.1
rna8457;XM_013081234.1
rna8458;XM_013081239.1
rna8459;XM_013081246.1
rna8460;XM_005096147.2
rna8461;XM_013081247.1
rna8462;XM_013081248.1
rna8463;XM_005096151.2
rna8464;XM_005096150.2
rna8465;XM_013081249.1
rna8466;XM_013081250.1
rna8467;XM_005096155.2
rna8468;XM_013081251.1
rna8469;XM_013081252.1
rna8470;XM_013081253.1
rna8471;XM_005096179.2
rna8472;XM_013081240.1
rna8473;XM_013081254.1
rna8474;XM_013081241.1
rna8475;XM_013081242.1
rna8476;XM_005096157.2
rna8477;XM_005096156.2
rna8478;XM_005096158.2
rna8479;XM_013081243.1
rna8480;XM_013081256.1
rna8481;XM_013081257.1
rna8482;XM_013081258.1
rna8483;XM_005096161.1
rna8484;XM_013081259.1
rna8485;XM_013081244.1
rna8486;XM_005096163.1
rna8487;XM_005096164.2
rna8488;XM_005096166.2
rna8489;XM_005096165.2
rna8490;XM_005096162.2
rna8491;XM_005096186.1
rna8494;XM_013081260.1
rna8495;XM_013081245.1
rna8496;XM_013081261.1
rna8497;XM_013081262.1
rna8498;XM_005096169.2
rna8499;XM_005096170.2
rna8500;XM_005096172.2
rna8501;XM_005096171.2
rna8502;XM_013081263.1
rna8503;XM_005096173.2
rna8504;XM_013081264.1
rna8505;XM_005096189.2
rna8506;XM_005096188.2
rna8507;XM_005096190.2
rna8508;XM_013081269.1
rna8509;XM_005096191.2
rna8510;XM_013081270.1
rna8511;XM_005096195.2
rna8512;XM_013081268.1
rna8513;XM_013081266.1
rna8514;XM_005096196.2
rna8515;XM_005096197.2
rna8516;XM_005096199.2
rna8517;XM_005096201.2
rna8518;XM_005096202.2
rna8519;XM_005096203.2
rna8520;XM_013081271.1
rna8521;XM_005096204.2
rna8522;XM_005096205.2
rna8523;NM_001204626.1
rna8524;XM_013081272.1
rna8525;XM_013081273.1
rna8526;XM_005096227.2
rna8527;NM_001204693.1
rna8528;NM_001204654.1
rna8529;XM_013081267.1
rna8530;XM_005096206.2
rna8531;XM_005096207.2
rna8532;XM_005096208.2
rna8533;NM_001204671.1
rna8534;XM_013081275.1
rna8535;XM_013081274.1
rna8536;XM_005096210.2
rna8537;XM_005096211.2
rna8538;XM_005096212.2
rna8539;XM_013081276.1
rna8540;XM_005096215.2
rna8541;XM_005096214.2
rna8542;XM_005096228.2
rna8543;XM_005096216.2
rna8544;XM_005096217.2
rna8545;XM_005096218.2
rna8546;XM_005096219.2
rna8547;XM_005096220.2
rna8548;XM_005096251.2
rna8549;XM_005096229.2
rna8550;XM_005096230.2
rna8551;XM_005096231.2
rna8552;XM_013081282.1
rna8553;XM_005096232.2
rna8554;XM_013081283.1
rna8555;XM_013081284.1
rna8556;XM_005096253.2
rna8557;XM_005096238.2
rna8558;XM_005096237.2
rna8559;XM_013081285.1
rna8560;XM_013081286.1
rna8561;XM_013081279.1
rna8562;XM_005096239.2
rna8563;XM_005096240.2
rna8564;XM_005096241.2
rna8565;XM_005096242.2
rna8566;XM_013081287.1
rna8567;XM_013081280.1
rna8568;XM_005096245.2
rna8569;XM_005096243.2
rna8570;XM_005096244.2
rna8572;XM_005096257.1
rna8573;XM_005096247.2
rna8574;XM_013081289.1
rna8575;XM_005096250.2
rna8576;XM_005096249.2
rna8577;XM_005096258.2
rna8578;XM_013081278.1
rna8579;NM_001204737.1
rna8580;XM_013081281.1
rna8581;XM_005096294.2
rna8582;XM_013081295.1
rna8583;XM_005096296.2
rna8584;XM_005096297.2
rna8585;XM_013081296.1
rna8586;XM_013081297.1
rna8587;XM_013081298.1
rna8588;XM_005096261.2
rna8589;XM_013081301.1
rna8590;XM_013081302.1
rna8591;XM_013081299.1
rna8592;XM_013081300.1
rna8593;XM_005096264.2
rna8595;XM_005096299.2
rna8596;XM_013081290.1
rna8597;XM_005096265.2
rna8598;XM_005096266.2
rna8599;XM_005096267.2
rna8600;XM_005096268.2
rna8601;XM_005096271.2
rna8602;XM_005096270.2
rna8603;XM_005096272.2
rna8604;XM_005096269.2
rna8605;XM_005096273.2
rna8606;XM_013081291.1
rna8607;XM_013081304.1
rna8608;XM_005096274.2
rna8609;XM_005096275.2
rna8610;XM_013081305.1
rna8611;XM_005096277.2
rna8612;XM_005096279.2
rna8613;XM_013081306.1
rna8614;XM_005096278.2
rna8615;XM_005096280.2
rna8616;XM_005096285.2
rna8617;XM_005096284.2
rna8618;XM_005096283.2
rna8619;XM_005096281.2
rna8620;XM_013081307.1
rna8621;XM_005096286.2
rna8622;XM_005096287.2
rna8623;XM_013081292.1
rna8624;XM_013081309.1
rna8625;XM_013081310.1
rna8626;XM_005096304.2
rna8627;XM_013081311.1
rna8628;XM_013081312.1
rna8629;XM_005096289.2
rna8630;XM_005096288.2
rna8631;XM_005096291.2
rna8632;XM_013081293.1
rna8633;XM_013081294.1
rna8634;XM_013081313.1
rna8635;XM_013081314.1
rna8636;XM_005096292.2
rna8637;XM_005096293.2
rna8638;XM_013081323.1
rna8639;XM_013081324.1
rna8640;XM_013081318.1
rna8641;XM_005096311.2
rna8642;XM_005096312.2
rna8643;XM_013081325.1
rna8644;XM_005096315.2
rna8645;XM_005096313.2
rna8646;XM_013081326.1
rna8647;XM_013081328.1
rna8648;XM_005096317.2
rna8649;NM_001253763.1
rna8650;XM_013081333.1
rna8651;XM_013081332.1
rna8652;XM_013081331.1
rna8653;XM_013081330.1
rna8654;XM_013081329.1
rna8655;XM_013081334.1
rna8657;XM_005096320.2
rna8658;XM_005096319.2
rna8659;XM_005096321.2
rna8660;XM_013081335.1
rna8661;XM_013081316.1
rna8662;NM_001204472.1
rna8663;XM_005096322.1
rna8664;XM_005096323.1
rna8665;XM_013081337.1
rna8666;XM_013081339.1
rna8667;XM_013081338.1
rna8668;XM_005096337.2
rna8669;XM_013081319.1
rna8670;XM_013081340.1
rna8671;XM_013081320.1
rna8672;XM_013081322.1
rna8673;XM_013081341.1
rna8674;XM_013081342.1
rna8675;XM_005096326.2
rna8676;XM_005096327.2
rna8677;XM_005096328.2
rna8679;XM_013081344.1
rna8680;XM_013081346.1
rna8681;XM_013081345.1
rna8682;XM_005096329.2
rna8683;XM_013081347.1
rna8684;XM_013081348.1
rna8685;XM_013081317.1
rna8686;NM_001256436.1
rna8687;XM_013081357.1
rna8688;XM_005096345.2
rna8689;XM_005096364.2
rna8690;XM_005096347.2
rna8691;XM_005096348.2
rna8692;XM_005096349.2
rna8693;XM_013081358.1
rna8694;XM_013081355.1
rna8695;XM_005096351.2
rna8696;XM_005096352.2
rna8697;XM_005096353.2
rna8698;XM_005096354.2
rna8699;XM_013081349.1
rna8700;XM_005096367.2
rna8701;XM_013081350.1
rna8702;XM_005096368.2
rna8703;XM_013081351.1
rna8704;XM_005096356.2
rna8705;XM_005096355.2
rna8706;XM_013081360.1
rna8707;XM_013081361.1
rna8708;XM_005096357.2
rna8709;XM_005096358.2
rna8710;XM_013081356.1
rna8711;XM_005096359.2
rna8712;XM_013081353.1
rna8713;XM_005096373.1
rna8714;XM_005096374.2
rna8715;XM_013081362.1
rna8716;XM_005096375.2
rna8717;XM_005096376.2
rna8718;XM_005096377.2
rna8719;XM_005096378.2
rna8720;XM_005096361.2
rna8721;XM_005096362.2
rna8722;XM_005096380.1
rna8723;XM_013081354.1
rna8724;XM_013081364.1
rna8725;NM_001204614.1
rna8726;XM_013081365.1
rna8727;XM_013081366.1
rna8728;XM_005096383.2
rna8729;XM_005096384.2
rna8730;XM_005096385.2
rna8731;XM_005096386.2
rna8732;XM_005096387.2
rna8733;XM_005096389.2
rna8734;XM_005096388.2
rna8735;XM_005096428.2
rna8736;XM_013081373.1
rna8737;XM_005096390.2
rna8738;XM_013081371.1
rna8739;XM_013081374.1
rna8740;XM_005096391.2
rna8741;XM_013081376.1
rna8742;XM_013081377.1
rna8743;XM_013081375.1
rna8744;XM_013081378.1
rna8745;XM_013081379.1
rna8746;XM_005096392.2
rna8747;XM_005096393.2
rna8748;XM_013081380.1
rna8749;XM_013081381.1
rna8750;XM_005096396.2
rna8751;XM_005096401.2
rna8752;XM_005096398.2
rna8753;XM_013081382.1
rna8754;XM_005096402.2
rna8755;XM_005096403.2
rna8756;XM_005096404.2
rna8757;XM_013081383.1
rna8758;XM_005096405.2
rna8759;XM_013081384.1
rna8760;XM_005096411.2
rna8761;XM_005096409.2
rna8762;XM_005096410.2
rna8763;XM_005096416.2
rna8764;XM_005096419.2
rna8765;XM_005096415.2
rna8766;XM_013081387.1
rna8767;XM_005096417.2
rna8768;XM_005096414.2
rna8769;XM_013081386.1
rna8770;XM_005096412.2
rna8771;XM_013081367.1
rna8772;XM_005096421.2
rna8773;XM_005096424.2
rna8774;XM_005096422.2
rna8775;XM_005096423.2
rna8776;XM_005096425.2
rna8777;XM_013081388.1
rna8778;XM_013081368.1
rna8779;XM_013081389.1
rna8780;XM_013081372.1
rna8781;XM_013081369.1
rna8782;XM_005096426.2
rna8783;XM_013081391.1
rna8784;XM_013081390.1
rna8785;XM_013081392.1
rna8786;XM_013081394.1
rna8787;XM_013081393.1
rna8789;XM_013081396.1
rna8790;XM_005096476.2
rna8791;XM_005096437.2
rna8792;XM_005096439.2
rna8793;XM_013081398.1
rna8794;XM_005096440.2
rna8795;XM_013081397.1
rna8796;XM_005096438.2
rna8797;XM_005096441.2
rna8798;XM_005096442.2
rna8799;XM_005096447.2
rna8800;XM_013081399.1
rna8801;XM_005096446.2
rna8802;XM_005096445.2
rna8804;XM_013081401.1
rna8805;XM_005096477.2
rna8806;XM_005096478.2
rna8807;XM_005096448.2
rna8808;XM_013081402.1
rna8809;XM_013081403.1
rna8810;XM_005096450.2
rna8811;XM_013081405.1
rna8812;XM_013081408.1
rna8813;XM_013081404.1
rna8814;XM_013081407.1
rna8815;XM_013081412.1
rna8816;XM_005096454.2
rna8817;XM_013081406.1
rna8818;XM_013081409.1
rna8819;XM_013081411.1
rna8820;XM_013081410.1
rna8821;XM_013081413.1
rna8822;XM_005096451.2
rna8823;XM_005096460.2
rna8824;XM_005096461.2
rna8825;XM_005096463.2
rna8826;XM_013081414.1
rna8827;XM_013081415.1
rna8828;XM_005096464.2
rna8830;XM_005096465.2
rna8831;XM_013081418.1
rna8832;XM_013081417.1
rna8833;XM_013081416.1
rna8834;XM_005096466.2
rna8835;XM_005096480.1
rna8836;XM_005096467.2
rna8837;XM_005096469.2
rna8838;XM_005096468.2
rna8839;XM_013081420.1
rna8840;XM_005096471.2
rna8841;XM_005096473.2
rna8842;XM_005096475.2
rna8843;XM_005096474.2
rna8844;XM_013081421.1
rna8846;XM_005096481.2
rna8847;XM_005096482.2
rna8848;XM_013081425.1
rna8849;XM_005096484.2
rna8850;XM_013081426.1
rna8851;XM_013081429.1
rna8852;XM_013081427.1
rna8853;XM_013081428.1
rna8854;XM_005096487.2
rna8855;XM_005096486.2
rna8856;XM_005096488.2
rna8857;XM_013081430.1
rna8858;XM_005096489.2
rna8859;XM_013081431.1
rna8860;XM_005096490.2
rna8861;XM_005096491.2
rna8862;XM_013081434.1
rna8863;XM_013081433.1
